"","date","value","Pmm"
"271","2015-06-29T00:00:00",0,0
"272","2015-06-30T00:00:00",0,0
"273","2015-07-01T00:00:00",18,1.8
"274","2015-07-02T00:00:00",64,6.4
"275","2015-07-03T00:00:00",254,25.4
"276","2015-07-04T00:00:00",279,27.9
"277","2015-07-05T00:00:00",165,16.5
"278","2015-07-06T00:00:00",38,3.8
"279","2015-07-07T00:00:00",0,0
"280","2015-07-08T00:00:00",0,0
"281","2015-07-09T00:00:00",5,0.5
"282","2015-07-10T00:00:00",0,0
"283","2015-07-11T00:00:00",0,0
"284","2015-07-12T00:00:00",0,0
"285","2015-07-13T00:00:00",0,0
"286","2015-07-14T00:00:00",0,0
"287","2015-07-15T00:00:00",307,30.7
"288","2015-07-16T00:00:00",0,0
"289","2015-07-17T00:00:00",0,0
"290","2015-07-18T00:00:00",0,0
"291","2015-07-19T00:00:00",0,0
"292","2015-07-20T00:00:00",0,0
"293","2015-07-21T00:00:00",84,8.4
"294","2015-07-22T00:00:00",0,0
"295","2015-07-23T00:00:00",0,0
"296","2015-07-24T00:00:00",28,2.8
"297","2015-07-25T00:00:00",0,0
"298","2015-07-26T00:00:00",0,0
"299","2015-07-27T00:00:00",0,0
"300","2015-07-28T00:00:00",0,0
"301","2015-07-29T00:00:00",0,0
"302","2015-07-30T00:00:00",0,0
"303","2015-07-31T00:00:00",5,0.5
"304","2015-08-01T00:00:00",0,0
"305","2015-08-02T00:00:00",0,0
"306","2015-08-03T00:00:00",0,0
"307","2015-08-04T00:00:00",0,0
"308","2015-08-05T00:00:00",0,0
"309","2015-08-06T00:00:00",0,0
"310","2015-08-07T00:00:00",66,6.6
"311","2015-08-08T00:00:00",13,1.3
"312","2015-08-09T00:00:00",0,0
"313","2015-08-10T00:00:00",0,0
"314","2015-08-11T00:00:00",30,3
"315","2015-08-12T00:00:00",0,0
"316","2015-08-13T00:00:00",0,0
"317","2015-08-14T00:00:00",99,9.9
"318","2015-08-15T00:00:00",343,34.3
"319","2015-08-16T00:00:00",5,0.5
"320","2015-08-17T00:00:00",0,0
"321","2015-08-18T00:00:00",61,6.1
"322","2015-08-19T00:00:00",142,14.2
"323","2015-08-20T00:00:00",104,10.4
"324","2015-08-21T00:00:00",5,0.5
"325","2015-08-22T00:00:00",5,0.5
"326","2015-08-23T00:00:00",15,1.5
"327","2015-08-24T00:00:00",13,1.3
"328","2015-08-25T00:00:00",0,0
"329","2015-08-26T00:00:00",0,0
"330","2015-08-27T00:00:00",0,0
"331","2015-08-28T00:00:00",0,0
"332","2015-08-29T00:00:00",0,0
"333","2015-08-30T00:00:00",0,0
"334","2015-08-31T00:00:00",28,2.8
"335","2015-09-01T00:00:00",0,0
"336","2015-09-02T00:00:00",15,1.5
"337","2015-09-03T00:00:00",3,0.3
"338","2015-09-04T00:00:00",3,0.3
"339","2015-09-05T00:00:00",5,0.5
"340","2015-09-06T00:00:00",0,0
"341","2015-09-07T00:00:00",0,0
"342","2015-09-08T00:00:00",5,0.5
"343","2015-09-09T00:00:00",0,0
"344","2015-09-10T00:00:00",38,3.8
"345","2015-09-11T00:00:00",0,0
"346","2015-09-12T00:00:00",8,0.8
"347","2015-09-13T00:00:00",0,0
"348","2015-09-14T00:00:00",0,0
"349","2015-09-15T00:00:00",0,0
"350","2015-09-16T00:00:00",0,0
"351","2015-09-17T00:00:00",0,0
"352","2015-09-18T00:00:00",0,0
"353","2015-09-19T00:00:00",0,0
"354","2015-09-20T00:00:00",0,0
"355","2015-09-21T00:00:00",0,0
"356","2015-09-22T00:00:00",0,0
"357","2015-09-23T00:00:00",0,0
"358","2015-09-24T00:00:00",0,0
"359","2015-09-25T00:00:00",157,15.7
"360","2015-09-26T00:00:00",340,34
"361","2015-09-27T00:00:00",5,0.5
"362","2015-09-28T00:00:00",0,0
"363","2015-09-29T00:00:00",76,7.6
"364","2015-09-30T00:00:00",333,33.3
"365","2015-09-30T00:00:00",333,33.3
"366","2015-10-01T00:00:00",0,0
"367","2015-10-02T00:00:00",318,31.8
"368","2015-10-03T00:00:00",191,19.1
"369","2015-10-04T00:00:00",279,27.9
"370","2015-10-05T00:00:00",3,0.3
"371","2015-10-06T00:00:00",0,0
"372","2015-10-07T00:00:00",0,0
"373","2015-10-08T00:00:00",0,0
"374","2015-10-09T00:00:00",0,0
"375","2015-10-10T00:00:00",109,10.9
"376","2015-10-11T00:00:00",142,14.2
"377","2015-10-12T00:00:00",0,0
"378","2015-10-13T00:00:00",150,15
"379","2015-10-14T00:00:00",0,0
"380","2015-10-15T00:00:00",0,0
"381","2015-10-16T00:00:00",0,0
"382","2015-10-17T00:00:00",0,0
"383","2015-10-18T00:00:00",0,0
"384","2015-10-19T00:00:00",0,0
"385","2015-10-20T00:00:00",0,0
"386","2015-10-21T00:00:00",0,0
"387","2015-10-22T00:00:00",0,0
"388","2015-10-23T00:00:00",0,0
"389","2015-10-24T00:00:00",0,0
"390","2015-10-25T00:00:00",0,0
"391","2015-10-26T00:00:00",13,1.3
"392","2015-10-27T00:00:00",81,8.1
"393","2015-10-28T00:00:00",61,6.1
"394","2015-10-29T00:00:00",25,2.5
"395","2015-10-30T00:00:00",10,1
"396","2015-10-31T00:00:00",0,0
"397","2015-11-01T00:00:00",51,5.1
"398","2015-11-02T00:00:00",315,31.5
"399","2015-11-03T00:00:00",157,15.7
"400","2015-11-04T00:00:00",0,0
"401","2015-11-05T00:00:00",0,0
"402","2015-11-06T00:00:00",20,2
"403","2015-11-07T00:00:00",81,8.1
"404","2015-11-08T00:00:00",25,2.5
"405","2015-11-09T00:00:00",340,34
"406","2015-11-10T00:00:00",81,8.1
"407","2015-11-11T00:00:00",0,0
"408","2015-11-12T00:00:00",3,0.3
"409","2015-11-13T00:00:00",3,0.3
"410","2015-11-14T00:00:00",0,0
"411","2015-11-15T00:00:00",0,0
"412","2015-11-16T00:00:00",0,0
"413","2015-11-17T00:00:00",0,0
"414","2015-11-18T00:00:00",10,1
"415","2015-11-19T00:00:00",500,50
"416","2015-11-20T00:00:00",0,0
"417","2015-11-21T00:00:00",0,0
"418","2015-11-22T00:00:00",0,0
"419","2015-11-23T00:00:00",0,0
"420","2015-11-24T00:00:00",0,0
"421","2015-11-25T00:00:00",0,0
"422","2015-11-26T00:00:00",0,0
"423","2015-11-27T00:00:00",0,0
"424","2015-11-28T00:00:00",0,0
"425","2015-11-29T00:00:00",0,0
"426","2015-11-30T00:00:00",378,37.8
"427","2015-12-01T00:00:00",168,16.8
"428","2015-12-02T00:00:00",622,62.2
"429","2015-12-03T00:00:00",71,7.1
"430","2015-12-04T00:00:00",0,0
"431","2015-12-05T00:00:00",0,0
"432","2015-12-06T00:00:00",0,0
"433","2015-12-07T00:00:00",0,0
"434","2015-12-08T00:00:00",0,0
"435","2015-12-09T00:00:00",0,0
"436","2015-12-10T00:00:00",0,0
"437","2015-12-11T00:00:00",0,0
"438","2015-12-12T00:00:00",0,0
"439","2015-12-13T00:00:00",0,0
"440","2015-12-14T00:00:00",13,1.3
"441","2015-12-15T00:00:00",48,4.8
"442","2015-12-16T00:00:00",0,0
"443","2015-12-17T00:00:00",84,8.4
"444","2015-12-18T00:00:00",25,2.5
"445","2015-12-19T00:00:00",0,0
"446","2015-12-20T00:00:00",0,0
"447","2015-12-21T00:00:00",0,0
"448","2015-12-22T00:00:00",152,15.2
"449","2015-12-23T00:00:00",8,0.8
"450","2015-12-24T00:00:00",869,86.9
"451","2015-12-25T00:00:00",470,47
"452","2015-12-26T00:00:00",178,17.8
"453","2015-12-27T00:00:00",25,2.5
"454","2015-12-28T00:00:00",58,5.8
"455","2015-12-29T00:00:00",478,47.8
"456","2015-12-30T00:00:00",5,0.5
"457","2015-12-31T00:00:00",165,16.5
"458","2016-01-01T00:00:00",0,0
"459","2016-01-02T00:00:00",0,0
"460","2016-01-03T00:00:00",0,0
"461","2016-01-04T00:00:00",0,0
"462","2016-01-05T00:00:00",0,0
"463","2016-01-06T00:00:00",0,0
"464","2016-01-07T00:00:00",0,0
"465","2016-01-08T00:00:00",33,3.3
"466","2016-01-09T00:00:00",0,0
"467","2016-01-10T00:00:00",64,6.4
"468","2016-01-11T00:00:00",0,0
"469","2016-01-12T00:00:00",0,0
"470","2016-01-13T00:00:00",0,0
"471","2016-01-14T00:00:00",0,0
"472","2016-01-15T00:00:00",0,0
"473","2016-01-16T00:00:00",330,33
"474","2016-01-17T00:00:00",0,0
"475","2016-01-18T00:00:00",0,0
"476","2016-01-19T00:00:00",0,0
"477","2016-01-20T00:00:00",0,0
"478","2016-01-21T00:00:00",89,8.9
"479","2016-01-22T00:00:00",305,30.5
"480","2016-01-23T00:00:00",66,6.6
"481","2016-01-24T00:00:00",0,0
"482","2016-01-25T00:00:00",0,0
"483","2016-01-26T00:00:00",0,0
"484","2016-01-27T00:00:00",46,4.6
"485","2016-01-28T00:00:00",0,0
"486","2016-01-29T00:00:00",0,0
"487","2016-01-30T00:00:00",0,0
"488","2016-01-31T00:00:00",0,0
"489","2016-02-01T00:00:00",0,0
"490","2016-02-02T00:00:00",0,0
"491","2016-02-03T00:00:00",305,30.5
"492","2016-02-04T00:00:00",104,10.4
"493","2016-02-05T00:00:00",0,0
"494","2016-02-06T00:00:00",0,0
"495","2016-02-07T00:00:00",0,0
"496","2016-02-08T00:00:00",0,0
"497","2016-02-09T00:00:00",0,0
"498","2016-02-10T00:00:00",0,0
"499","2016-02-11T00:00:00",0,0
"500","2016-02-12T00:00:00",0,0
"501","2016-02-13T00:00:00",0,0
"502","2016-02-14T00:00:00",0,0
"503","2016-02-15T00:00:00",0,0
"504","2016-02-16T00:00:00",157,15.7
"505","2016-02-17T00:00:00",41,4.1
"506","2016-02-18T00:00:00",0,0
"507","2016-02-19T00:00:00",0,0
"508","2016-02-20T00:00:00",0,0
"509","2016-02-21T00:00:00",25,2.5
"510","2016-02-22T00:00:00",53,5.3
"511","2016-02-23T00:00:00",257,25.7
"512","2016-02-24T00:00:00",292,29.2
"513","2016-02-25T00:00:00",140,14
"514","2016-02-26T00:00:00",3,0.3
"515","2016-02-27T00:00:00",0,0
"516","2016-02-28T00:00:00",0,0
"517","2016-02-29T00:00:00",0,0
"518","2016-03-01T00:00:00",0,0
"519","2016-03-02T00:00:00",109,10.9
"520","2016-03-03T00:00:00",0,0
"521","2016-03-04T00:00:00",20,2
"522","2016-03-05T00:00:00",0,0
"523","2016-03-06T00:00:00",13,1.3
"524","2016-03-07T00:00:00",0,0
"525","2016-03-08T00:00:00",0,0
"526","2016-03-09T00:00:00",0,0
"527","2016-03-10T00:00:00",0,0
"528","2016-03-11T00:00:00",0,0
"529","2016-03-12T00:00:00",0,0
"530","2016-03-13T00:00:00",28,2.8
"531","2016-03-14T00:00:00",41,4.1
"532","2016-03-15T00:00:00",46,4.6
"533","2016-03-16T00:00:00",0,0
"534","2016-03-17T00:00:00",0,0
"535","2016-03-18T00:00:00",0,0
"536","2016-03-19T00:00:00",0,0
"537","2016-03-20T00:00:00",0,0
"538","2016-03-21T00:00:00",15,1.5
"539","2016-03-22T00:00:00",0,0
